Nomor Kontrak,Proyek,Tahun,Tipe,Vendor,PPK,Mulai,Selesai,BAST
SPK/40/I/LOG.6.11.9/2020/DIV TIK,SST Tower,2020,KONTRAK,CV Lingga Putra,PPK Indah,2020-01-20,2020-09-25,2020-08-27
SPK/95/II/LOG.6.11.9/2021/DIV TIK,Internet Intranet,2021,KONTRAK,Trimitra Usaha Sejahtera,PPK Dinda,2021-02-11,2021-10-22,2021-11-27
SPK/151/I/LOG.6.11.9/2022/DIV TIK,ITSM 2022,2022,KONTRAK,R17,KOMBES POL Ir. Moch. Syamsul Arief M T,2022-01-03,2022-07-02,2022-07-09
SPK/103/IV/LOG.6.11.9/2022/DIV TIK,ITAM 2022,2022,KONTRAK,R17,KOMBES POL Ir. Moch. Syamsul Arief M T,2022-02-01,2022-06-01,
SPK/123/IV/LOG.6.11.9/2019/DIV TIK,DC Trunojoyo,2019,KONTRAK,Prima Gading Solusi,PPK Irbad,2019-04-21,2019-12-13,2019-12-21
SPK/101/IV/LOG.6.11.9/2022/DIV TIK,Hub Vsat,2022,KONTRAK,Cyper Network Inc,PPK Irbad,2022-01-01,2022-06-01,
SPK/132/I/LOG.6.11.9/2022/DIV TIK,EA 2022,2022,KONTRAK,R17,KOMBES POL Ir. Moch. Syamsul Arief M T,2022-01-10,2022-08-19,
SPK/130/III/LOG.6.11.9/2020/DIV TIK,Repeater Mobile,2020,KONTRAK,Amboro Integrasi Teknologi,PPK Indah,2020-03-09,2020-11-27,2020-12-14
SPK/44/IX/LOG.6.11.9/2021/DIV TIK,AC Presisi,2021,KONTRAK,Kreasi Tekno Pratama,PPK Alivia,2021-09-29,2022-05-03,2022-05-16
SP/625/APBN/III/LOG.4.11.8/2022/DIV TIK,Pengadaan Pembangunan Sistem dan Infrastruktur Tracking Aset APBN T.A. 2022,2022,KONTRAK,PT Digital Prima Sejahtera,KOMBES POL Ir. Moch. Syamsul Arief M T,2022-03-07,2022-11-14,
SPK/102/IV/LOG.6.11.9/2022/DIV TIK,Backhoul,2021,KONTRAK,Amboro Integrasi Teknolog,PPK Irbad,2021-10-01,2022-04-01,
,,,,,,,,
SPK/201/IV/LOG.6.11.9/2022/DIV TIK,ICT MC3,2022,KONTRAK,Nauval Inti Perdana,PPK Indah,2022-01-03,2022-06-30,2022-06-24
SPK/64/VIII/LOG.6.11.9/2020/DIV TIK,UPS,2020,KONTRAK,Kreasi Tekno Pratama,PPK Dinda,2020-08-29,2021-04-08,2021-04-18
SPK/110/VII/LOG.6.11.9/2019/DIV TIK,Kommog,2019,KONTRAK,Nauval Inti Perdana,PPK Ecling,2019-07-03,2020-03-24,2020-03-19
SPK/131/I/LOG.6.11.9/2022/DIV TIK,IT Asset Tracking,2022,KONTRAK,PT Digital Prima Sejahtera,KOMBES POL Ir. Moch. Syamsul Arief M T,2022-01-03,2022-06-30,2022-06-24
SPK/53/VIII/LOG.6.11.9/2021/DIV TIK,Radkom,2021,KONTRAK,Prada Wijaya,PPK Ecling,2021-08-08,2022-03-29,2022-03-04
SPK/116/III/LOG.6.11.9/2021/DIV TIK,Komputer PC,2021,KONTRAK,Suryo Sembhodo Manunggal,PPK Alivia,2021-03-05,2021-09-15,2021-09-19
